Player,Team,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
LaMarcus Aldridge,SAS,"$21,461,010 ","$22,347,015 ",,,,,Cap Space,"$21,461,010 "
Kawhi Leonard,SAS,"$18,868,625 ","$20,099,189 ","$21,329,752 ",,,,Bird Rights,"$38,967,814 "
Pau Gasol,SAS,"$16,000,000 ","$16,000,000 ","$16,000,000 ",,,,,"$38,700,000 "
Tony Parker,SAS,"$15,453,126 ",,,,,,Bird Rights,"$15,453,126 "
Patty Mills,SAS,"$10,714,286 ","$11,571,429 ","$12,428,571 ","$13,285,714 ",,,Bird Rights,"$48,000,000 "
Danny Green,SAS,"$10,000,000 ","$10,000,000 ",,,,,Bird Rights,"$10,000,000 "
Rudy Gay,SAS,"$8,406,000 ","$8,826,300 ",,,,,MLE,"$8,406,000 "
Manu Ginobili,SAS,"$2,500,000 ","$2,500,000 ",,,,,,"$5,000,000 "
Kyle Anderson,SAS,"$2,151,704 ",,,,,,1st Round Pick,"$2,151,704 "
Joffrey Lauvergne,SAS,"$1,524,305 ","$1,656,092 ",,,,,,"$1,524,305 "
Derrick White,SAS,"$1,404,600 ","$1,667,160 ","$1,948,080 ","$3,516,284 ",,,1st Round Pick,"$3,071,760 "
Dejounte Murray,SAS,"$1,312,611 ","$1,544,951 ","$2,321,735 ",,,,1st Round pick,"$1,312,611 "
Bryn Forbes,SAS,"$1,312,611 ",,,,,,Minimum Salary,
Davis Bertans,SAS,"$1,312,611 ",,,,,,Minimum Salary,"$1,312,611 "
London Perrantes,SAS,"$815,615 ",,,,,,Minimum Salary,
Brandon Paul,SAS,"$815,615 ","$1,378,242 ",,,,,Minimum Salary,"$815,615 "
Tim Duncan,SAS,"$1,881,250 ","$1,881,250 ",,,,,,"$3,762,500 "
Livio Jean-Charles,SAS,"$1,035,200 ",,,,,,,"$1,035,200 "
Jrue Holiday,NOP,"$25,686,667 ","$26,131,111 ","$26,131,111 ","$26,131,111 ","$27,020,000 ",,Bird Rights,"$104,080,000 "
Anthony Davis,NOP,"$23,775,506 ","$25,434,263 ","$27,093,019 ","$28,751,775 ",,,1st Round Pick,"$76,302,788 "
DeMarcus Cousins,NOP,"$18,063,850 ",,,,,,1st Round Pick,"$18,063,850 "
Solomon Hill,NOP,"$12,236,535 ","$12,752,928 ","$13,258,781 ",,,,Cap Space,"$38,248,244 "
Omer Asik,NOP,"$10,595,505 ","$11,286,516 ","$11,977,527 ",,,,Bird Rights,"$24,882,021 "
E'Twaun Moore,NOP,"$8,445,024 ","$8,808,685 ","$8,664,928 ",,,,Cap Space,"$25,918,637 "
Alexis Ajinca,NOP,"$4,961,798 ","$5,285,394 ",,,,,Early Bird Rights,"$10,247,192 "
Rajon Rondo,NOP,"$3,300,000 ",,,,,,MLE,"$3,300,000 "
Darius Miller,NOP,"$2,100,000 ","$2,205,000 ",,,,,MLE,"$2,100,000 "
Jordan Crawford,NOP,"$1,709,538 ",,,,,,Minimum Salary,"$250,000 "
Ian Clark,NOP,"$1,577,230 ",,,,,,Minimum Salary,"$1,577,230 "
Cheick Diallo,NOP,"$1,312,611 ","$1,544,951 ",,,,,Minimum Salary,"$1,812,611 "
Frank Jackson,NOP,"$815,615 ","$1,378,242 ","$1,618,520 ",,,,MLE,"$2,699,857 "
Quinn Cook,NOP,"$25,000 ",,,,,,,"$25,000 "
Axel Toupane,NOP,"$25,000 ",,,,,,,"$25,000 "
Jimmy Butler,MIN,"$19,301,070 ","$20,445,779 ","$19,841,627 ",,,,Bird Rights,"$39,746,849 "
Jeff Teague,MIN,"$19,000,000 ","$19,000,000 ","$19,000,000 ",,,,Cap space,"$38,000,000 "
Gorgui Dieng,MIN,"$14,112,360 ","$15,170,787 ","$16,229,213 ","$17,287,640 ",,,1st Round Pick,"$62,800,000 "
Taj Gibson,MIN,"$14,000,000 ","$14,000,000 ",,,,,Cap space,"$28,000,000 "
Andrew Wiggins,MIN,"$7,574,322 ",,,,,,1st Round Pick,"$7,574,322 "
Cole Aldrich,MIN,"$7,300,000 ","$6,956,021 ",,,,,Cap Space,"$9,356,021 "
Karl-Anthony Towns,MIN,"$6,216,840 ","$7,839,435 ",,,,,1st round pick,"$6,216,840 "
Jamal Crawford,MIN,"$4,328,000 ","$4,544,400 ",,,,,Room Exception,"$4,328,000 "
Nemanja Bjelica,MIN,"$3,949,999 ",,,,,,MLE,"$3,949,999 "
Justin Patton,MIN,"$2,247,480 ","$2,667,600 ","$3,117,240 ","$4,781,846 ",,,1st Round Pick,"$4,915,080 "
Tyus Jones,MIN,"$1,471,382 ","$2,444,053 ",,,,,1st Round pick,"$1,471,382 "
Marcus Georges-Hunt,MIN,"$1,312,611 ",,,,,,Minimum Salary,
Nikola Pekovic,MIN,"$11,600,000 ",,,,,,,"$11,600,000 "
Kevin Martin,MIN,"$1,360,305 ","$1,360,305 ",,,,,,"$2,720,610 "
Gordon Hayward,BOS,"$29,727,900 ","$31,214,295 ","$32,700,690 ","$34,187,085 ",,,Cap space,"$93,642,885 "
Al Horford,BOS,"$27,734,405 ","$28,928,710 ","$30,123,015 ",,,,Cap Space,"$56,663,115 "
Kyrie Irving,BOS,"$18,868,625 ","$20,099,188 ","$21,329,750 ",,,,Bird Rights,"$38,967,813 "
